,Unnamed: 0,Chemical_formula,Elements,CN,Prototypes (from Al-Fe (2-3))
0,0,Al4,"Al, Al, Al, Al","10, 10, 10, 10",10 
1,1,Fe4,"Fe, Fe, Fe, Fe","6, 6, 4, 4",
2,2,Al2Fe2,"Al, Al, Fe, Fe","6, 6, 8, 8",
3,3,Al3Fe,"Al, Al, Al, Fe","8, 8, 8, 8",
4,4,AlFe3,"Al, Fe, Fe, Fe","6, 6, 6, 6",7 
5,5,Al4,"Al, Al, Al, Al","2, 2, 2, 2",
6,6,Fe4,"Fe, Fe, Fe, Fe","8, 8, 8, 8",
7,7,Al2Fe2,"Al, Al, Fe, Fe","4, 4, 4, 4",
8,8,Al3Fe,"Al, Al, Al, Fe","6, 6, 6, 6",
9,9,AlFe3,"Al, Fe, Fe, Fe","10, 9, 9, 8",
10,10,Al4,"Al, Al, Al, Al","2, 2, 2, 2",
11,11,Fe4,"Fe, Fe, Fe, Fe","6, 6, 6, 6",7 
12,12,Al2Fe2,"Al, Al, Fe, Fe","6, 6, 6, 6",
13,13,Al3Fe,"Al, Al, Al, Fe","4, 4, 4, 0",
14,14,AlFe3,"Al, Fe, Fe, Fe","6, 6, 6, 6",
15,15,Al4,"Al, Al, Al, Al","2, 2, 2, 2",
16,16,Fe4,"Fe, Fe, Fe, Fe","8, 6, 6, 8",
17,17,Al2Fe2,"Al, Al, Fe, Fe","2, 2, 2, 2",6 
18,18,Al3Fe,"Al, Al, Al, Fe","2, 2, 2, 2",6 
19,19,AlFe3,"Al, Fe, Fe, Fe","6, 6, 6, 6",7
20,20,Al4,"Al, Al, Al, Al","6, 6, 6, 6",
21,21,Fe4,"Fe, Fe, Fe, Fe","8, 8, 8, 8",
22,22,Al2Fe2,"Al, Al, Fe, Fe","9, 9, 9, 9",
23,23,Al3Fe,"Al, Al, Al, Fe","3, 3, 4, 4",
24,24,AlFe3,"Al, Fe, Fe, Fe","8, 8, 7, 7",
25,25,Al4,"Al, Al, Al, Al","6, 6, 6, 6",
26,26,Fe4,"Fe, Fe, Fe, Fe","12, 12, 12, 12",
27,27,Al2Fe2,"Al, Al, Fe, Fe","6, 6, 6, 6",
28,28,Al3Fe,"Al, Al, Al, Fe","6, 6, 6, 6",
29,29,AlFe3,"Al, Fe, Fe, Fe","8, 8, 6, 6",
30,30,Al4,"Al, Al, Al, Al","8, 8, 8, 8",
31,31,Fe4,"Fe, Fe, Fe, Fe","10, 10, 10, 10",5 
32,32,Al2Fe2,"Al, Al, Fe, Fe","6, 6, 6, 6",7 
33,33,Al3Fe,"Al, Al, Al, Fe","4, 4, 4, 4",
34,34,AlFe3,"Al, Fe, Fe, Fe","8, 8, 8, 8",
35,35,Al4,"Al, Al, Al, Al","10, 10, 10, 10",5 
36,36,Fe4,"Fe, Fe, Fe, Fe","8, 8, 8, 8",
37,37,Al2Fe2,"Al, Al, Fe, Fe","8, 8, 8, 8",
38,38,Al3Fe,"Al, Al, Al, Fe","4, 4, 4, 4",
39,39,AlFe3,"Al, Fe, Fe, Fe","7, 7, 7, 7",
40,40,Al4,"Al, Al, Al, Al","6, 6, 6, 6",7 
41,41,Fe4,"Fe, Fe, Fe, Fe","6, 6, 4, 4",
42,42,Al2Fe2,"Al, Al, Fe, Fe","8, 8, 8, 8",
43,43,Al3Fe,"Al, Al, Al, Fe","6, 6, 6, 6",
44,44,AlFe3,"Al, Fe, Fe, Fe","10, 10, 10, 10",
45,45,Al4,"Al, Al, Al, Al","10, 10, 10, 10",5 
46,46,Fe4,"Fe, Fe, Fe, Fe","12, 12, 12, 12",
47,47,Al2Fe2,"Al, Al, Fe, Fe","9, 9, 9, 9",
48,48,Al3Fe,"Al, Al, Al, Fe","8, 8, 8, 8",
49,49,AlFe3,"Al, Fe, Fe, Fe","12, 12, 12, 12",
