,Unnamed: 0,structure,nsites
0,0,"data_image0
_chemical_formula_structural       Al2
_chemical_formula_sum              ""Al2""
_cell_length_a       2.42291
_cell_length_b       2.5348
_cell_length_c       5.53955
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al  Al1       1.0  0.00000  0.60205  0.50000  1.0000
  Al  Al2       1.0  0.50000  0.39795  0.00000  1.0000
",2
1,1,"data_image0
_chemical_formula_structural       Fe2
_chemical_formula_sum              ""Fe2""
_cell_length_a       2.62262
_cell_length_b       2.5537
_cell_length_c       3.17062
_cell_angle_alpha    90
_cell_angle_beta     100.176
_cell_angle_gamma    90

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Fe  Fe1       1.0  0.50000  0.00000  0.00000  1.0000
  Fe  Fe2       1.0  0.00000  0.50000  0.00000  1.0000
",2
2,2,"data_image0
_chemical_formula_structural       AlFe
_chemical_formula_sum              ""Al1 Fe1""
_cell_length_a       3.13476
_cell_length_b       2.34453
_cell_length_c       3.73853
_cell_angle_alpha    90
_cell_angle_beta     92.113
_cell_angle_gamma    90

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al  Al1       1.0  0.00000  0.02965  0.00000  1.0000
  Fe  Fe1       1.0  0.50000  0.76927  0.50000  1.0000
",2
3,3,"data_image0
_chemical_formula_structural       Al2
_chemical_formula_sum              ""Al2""
_cell_length_a       3.01862
_cell_length_b       3.36636
_cell_length_c       3.36636
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    96.0176

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al  Al1       1.0  0.00000  0.86182  0.86181  1.0000
  Al  Al2       1.0  0.50000  0.36182  0.36181  1.0000
",2
4,4,"data_image0
_chemical_formula_structural       Fe2
_chemical_formula_sum              ""Fe2""
_cell_length_a       2.94878
_cell_length_b       2.94878
_cell_length_c       2.77548
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    120

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Fe  Fe1       1.0  0.33333  0.66667  0.64575  1.0000
  Fe  Fe2       1.0  0.66667  0.33333  0.14575  1.0000
",2
5,5,"data_image0
_chemical_formula_structural       AlFe
_chemical_formula_sum              ""Al1 Fe1""
_cell_length_a       2.99276
_cell_length_b       2.39982
_cell_length_c       3.92057
_cell_angle_alpha    90
_cell_angle_beta     102.772
_cell_angle_gamma    90

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al  Al1       1.0  0.14357  0.00000  0.71881  1.0000
  Fe  Fe1       1.0  0.41591  0.50000  0.36198  1.0000
",2
6,6,"data_image0
_chemical_formula_structural       Al2
_chemical_formula_sum              ""Al2""
_cell_length_a       3.5408
_cell_length_b       3.5408
_cell_length_c       3.5408
_cell_angle_alpha    107.299
_cell_angle_beta     107.299
_cell_angle_gamma    113.91

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al  Al1       1.0  0.18243  0.18243  0.00000  1.0000
  Al  Al2       1.0  0.81757  0.81757  0.00000  1.0000
",2
7,7,"data_image0
_chemical_formula_structural       Fe2
_chemical_formula_sum              ""Fe2""
_cell_length_a       3.08755
_cell_length_b       3.09421
_cell_length_c       3.09421
_cell_angle_alpha    90.2466
_cell_angle_beta     60.0712
_cell_angle_gamma    60.0712

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Fe  Fe1       1.0  0.00000  0.11958  0.88042  1.0000
  Fe  Fe2       1.0  0.00000  0.61958  0.38042  1.0000
",2
8,8,"data_image0
_chemical_formula_structural       AlFe
_chemical_formula_sum              ""Al1 Fe1""
_cell_length_a       3.53402
_cell_length_b       2.19595
_cell_length_c       3.65223
_cell_angle_alpha    90
_cell_angle_beta     75.65
_cell_angle_gamma    90

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al  Al1       1.0  0.00000  0.00000  0.00000  1.0000
  Fe  Fe1       1.0  0.00000  0.50000  0.00000  1.0000
",2
9,9,"data_image0
_chemical_formula_structural       Al2
_chemical_formula_sum              ""Al2""
_cell_length_a       3.59614
_cell_length_b       3.47847
_cell_length_c       3.59614
_cell_angle_alpha    83.5426
_cell_angle_beta     61.0766
_cell_angle_gamma    61.0766

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al  Al1       1.0  0.25000  0.00000  0.75000  1.0000
  Al  Al2       1.0  0.75000  0.00000  0.25000  1.0000
",2
