,Unnamed: 0,Chemical_formula,Elements,CN,Prototypes (from Al-Fe (2-3))
0,0,Al5,"Al, Al, Al, Al, Al","7, 7, 7, 4, 7",
1,1,Fe5,"Fe, Fe, Fe, Fe, Fe","12, 12, 12, 12, 12",
2,2,Al2Fe3,"Al, Al, Fe, Fe, Fe","9, 7, 9, 9, 8",
3,3,Al3Fe2,"Al, Al, Al, Fe, Fe","10, 4, 4, 6, 6",
4,4,Al4Fe,"Al, Al, Al, Al, Fe","8, 8, 8, 8, 8",
5,5,AlFe4,"Al, Fe, Fe, Fe, Fe","9, 2, 8, 8, 9",
6,6,Al5,"Al, Al, Al, Al, Al","5, 5, 5, 5, 0",
7,7,Fe5,"Fe, Fe, Fe, Fe, Fe","7, 6, 7, 8, 6",
8,8,Al2Fe3,"Al, Al, Fe, Fe, Fe","2, 8, 6, 6, 6",
9,9,Al3Fe2,"Al, Al, Al, Fe, Fe","6, 6, 6, 6, 6",
10,10,Al4Fe,"Al, Al, Al, Al, Fe","7, 7, 7, 7, 8",
11,11,AlFe4,"Al, Fe, Fe, Fe, Fe","8, 9, 9, 9, 9",
12,12,Al5,"Al, Al, Al, Al, Al","8, 2, 6, 6, 6",
13,13,Fe5,"Fe, Fe, Fe, Fe, Fe","6, 6, 8, 8, 6",
14,14,Al2Fe3,"Al, Al, Fe, Fe, Fe","12, 12, 12, 12, 12",
15,15,Al3Fe2,"Al, Al, Al, Fe, Fe","7, 7, 8, 8, 4",
16,16,Al4Fe,"Al, Al, Al, Al, Fe","6, 6, 6, 6, 4",
17,17,AlFe4,"Al, Fe, Fe, Fe, Fe","6, 14, 14, 14, 12",
18,18,Al5,"Al, Al, Al, Al, Al","8, 4, 6, 6, 4",
19,19,Fe5,"Fe, Fe, Fe, Fe, Fe","6, 6, 6, 8, 2",
20,20,Al2Fe3,"Al, Al, Fe, Fe, Fe","7, 7, 8, 8, 8",
21,21,Al3Fe2,"Al, Al, Al, Fe, Fe","2, 2, 2, 6, 0",
22,22,Al4Fe,"Al, Al, Al, Al, Fe","6, 6, 6, 6, 2",
23,23,AlFe4,"Al, Fe, Fe, Fe, Fe","4, 2, 4, 4, 2",
24,24,Al5,"Al, Al, Al, Al, Al","8, 8, 8, 8, 8",
25,25,Fe5,"Fe, Fe, Fe, Fe, Fe","6, 6, 2, 2, 8",
26,26,Al2Fe3,"Al, Al, Fe, Fe, Fe","6, 6, 8, 8, 6",
27,27,Al3Fe2,"Al, Al, Al, Fe, Fe","6, 6, 6, 6, 6",
28,28,Al4Fe,"Al, Al, Al, Al, Fe","4, 4, 4, 4, 8",
29,29,AlFe4,"Al, Fe, Fe, Fe, Fe","9, 8, 9, 8, 8",
30,30,Al5,"Al, Al, Al, Al, Al","10, 8, 6, 7, 7",
31,31,Fe5,"Fe, Fe, Fe, Fe, Fe","10, 8, 6, 8, 8",
32,32,Al2Fe3,"Al, Al, Fe, Fe, Fe","8, 8, 6, 6, 6",
33,33,Al3Fe2,"Al, Al, Al, Fe, Fe","6, 6, 6, 8, 8",
34,34,Al4Fe,"Al, Al, Al, Al, Fe","2, 2, 2, 6, 0",
35,35,AlFe4,"Al, Fe, Fe, Fe, Fe","10, 7, 7, 7, 7",
36,36,Al5,"Al, Al, Al, Al, Al","2, 2, 2, 0, 6",
37,37,Fe5,"Fe, Fe, Fe, Fe, Fe","8, 7, 7, 7, 7",
38,38,Al2Fe3,"Al, Al, Fe, Fe, Fe","11, 9, 9, 9, 8",
39,39,Al3Fe2,"Al, Al, Al, Fe, Fe","6, 6, 6, 8, 8",
40,40,Al4Fe,"Al, Al, Al, Al, Fe","4, 4, 6, 5, 7",
41,41,AlFe4,"Al, Fe, Fe, Fe, Fe","8, 6, 6, 5, 5",
42,42,Al5,"Al, Al, Al, Al, Al","10, 8, 6, 7, 7",
43,43,Fe5,"Fe, Fe, Fe, Fe, Fe","8, 8, 8, 8, 8",
44,44,Al2Fe3,"Al, Al, Fe, Fe, Fe","6, 6, 8, 5, 5",
45,45,Al3Fe2,"Al, Al, Al, Fe, Fe","10, 8, 7, 6, 7",
46,46,Al4Fe,"Al, Al, Al, Al, Fe","10, 6, 7, 7, 8",
47,47,AlFe4,"Al, Fe, Fe, Fe, Fe","10, 10, 10, 8, 8",
48,48,Al5,"Al, Al, Al, Al, Al","8, 7, 7, 7, 7",
49,49,Fe5,"Fe, Fe, Fe, Fe, Fe","8, 8, 8, 8, 8",10
